step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
209,PAYMENT,11229.2,C1735183682,250011.95,238782.75,M1631573973,0,0,No,0
405,PAYMENT,7339.77,C648944672,0,0,M378824263,0,0,No,0
359,PAYMENT,2815.81,C324880319,295,0,M366256513,0,0,No,0
155,PAYMENT,28248.74,C1823482507,405769,377520.26,M72604070,0,0,No,0
253,CASH_OUT,180532.72,C2116899401,25114,0,C1530449183,105028.25,285560.97,No,0
154,CASH_IN,49886.51,C2144069392,17020003.59,17069890.09,C700496630,1525308.03,1475421.52,No,0
684,TRANSFER,4342002.56,C1998449272,139865,0,C1727188034,14722698.13,19064700.69,No,0
214,CASH_IN,190362.53,C6874371,5999953.29,6190315.81,C700702276,1379673.94,1189311.41,No,0
19,CASH_OUT,166058.96,C264699995,303224.14,137165.17,C2064890271,661317.84,628880.13,No,0
393,CASH_IN,216065.04,C807177050,50607,266672.04,C1122253715,672247.16,456182.12,No,0
691,TRANSFER,181186.48,C2057415326,0,0,C1374807407,3514806.75,3695993.22,No,0
369,TRANSFER,89596.79,C1585320500,89596.79,0,C1154746832,0,0,Si,0
12,CASH_IN,390522.78,C1699687178,40546,431068.78,C1251601692,101834,0,No,0
403,CASH_OUT,94680.46,C1598705262,0,0,C2091107438,658802.48,753482.94,No,0
378,CASH_OUT,58093.92,C538218625,19380,0,C1720224177,272351.65,330445.58,No,0
322,CASH_IN,550117.05,C346680465,351902,902019.05,C1503778391,869845.01,319727.96,No,0
283,CASH_OUT,399356.9,C763536974,0,0,C412015214,800587.08,1199943.97,No,0
44,PAYMENT,3064.56,C1633486564,160373,157308.44,M544473492,0,0,No,0
227,TRANSFER,1159275.6,C1010975868,0,0,C1520001952,1249810.19,2409085.79,No,0
188,TRANSFER,736705.38,C2145087402,350,0,C1994121680,3469452.06,4206157.45,No,0
205,PAYMENT,13075.06,C642175135,10547,0,M270931541,0,0,No,0
131,TRANSFER,7476725.66,C452889653,7476725.66,0,C1784013165,0,0,Si,0
327,PAYMENT,15583.27,C821684722,74405,58821.73,M1252903111,0,0,No,0
165,CASH_IN,245107.4,C1122717474,2586224.02,2831331.42,C1248634563,455115.69,210008.29,No,0
379,CASH_IN,122817.66,C1210921866,3099381.36,3222199.01,C1074236393,978035.38,855217.72,No,0
528,TRANSFER,2173367.35,C927887851,2173367.35,0,C1921605128,0,0,Si,0
384,CASH_OUT,178176.78,C372252462,0,0,C1209957098,4551915.35,4730092.13,No,0
355,CASH_OUT,207979.46,C1933375403,11425,0,C1742517297,5606395.78,5814375.25,No,0
407,CASH_OUT,136637.29,C585220619,91238.3,0,C1479723828,586288.75,722926.04,No,0
19,PAYMENT,8528.05,C805003926,0,0,M840349329,0,0,No,0
251,CASH_OUT,115680.61,C2088030891,0,0,C155731326,404970.9,520651.5,No,0
136,CASH_OUT,31206.37,C487272809,0,0,C488178939,46941.9,78148.27,No,0
612,TRANSFER,875642.27,C122053857,0,0,C927998932,1518531.05,2394173.32,No,0
305,CASH_OUT,272819.82,C351916172,155973,0,C1893632813,213510.81,486330.63,No,0
303,CASH_OUT,297911.23,C926079031,5802,0,C864217192,329532.77,627444,No,0
352,CASH_OUT,24199.6,C550058087,0,0,C655148472,10490744.33,10514943.92,No,0
157,PAYMENT,5488.06,C1855148142,2858,0,M996183316,0,0,No,0
349,CASH_IN,52292.12,C805038988,10019142.05,10071434.17,C1897068294,773683.23,721391.11,No,0
206,TRANSFER,117965.91,C309004659,0,0,C946825748,778637.7,896603.61,No,0
177,PAYMENT,15084.05,C1310877854,0,0,M432200293,0,0,No,0
281,CASH_OUT,56906.71,C1413080970,13055,0,C1002660131,0,56906.71,No,0
182,PAYMENT,26853.41,C1566665859,47793,20939.59,M1053522934,0,0,No,0
379,PAYMENT,3111.49,C1229317534,200491.98,197380.49,M1564066784,0,0,No,0
226,CASH_OUT,332260.19,C1230306890,7672,0,C1419826423,203563.88,535824.07,No,0
329,PAYMENT,1240.71,C649411250,573722.8,572482.09,M695504950,0,0,No,0
355,CASH_IN,148711.32,C767706118,1905515,2054226.32,C1235572934,5636372.89,5487661.56,No,0
255,CASH_OUT,370796.47,C1531872955,50374,0,C1838746862,86837.73,457634.19,No,0
354,CASH_OUT,67020.47,C2111239325,29971,0,C335838603,245211.18,312231.65,No,0
38,PAYMENT,27954.4,C2081381348,336987.85,309033.45,M1266712520,0,0,No,0
254,CASH_OUT,20045.49,C304633007,0,0,C159338389,225501.23,245546.72,No,0
401,PAYMENT,23045.81,C2077357395,27680,4634.19,M178900169,0,0,No,0
137,PAYMENT,13147.62,C1736039748,0,0,M1418400379,0,0,No,0
34,CASH_IN,346858.38,C129221999,61198,408056.38,C1116605177,1576828.9,1229970.52,No,0
278,TRANSFER,1472947.38,C1654873510,201212,0,C1890369715,0,1472947.38,No,0
382,PAYMENT,19871.83,C2085460429,6686,0,M54624334,0,0,No,0
394,CASH_OUT,171382.14,C692745521,0,0,C229446391,338963.01,510345.15,No,0
134,CASH_OUT,71163.38,C2045795522,152282.53,81119.15,C2009668592,684038.14,755201.53,No,0
202,CASH_OUT,117640.96,C617308341,0,0,C1938885294,891390.98,1009031.93,No,0
181,CASH_IN,214335.88,C531880477,60600,274935.88,C2006684671,17087.93,0,No,0
164,PAYMENT,8302.51,C133583196,347952.26,339649.75,M265969646,0,0,No,0
14,CASH_OUT,89074.29,C1252843969,9901,0,C1641508420,245868.32,640492.15,No,0
692,CASH_OUT,322364.44,C979853817,0,0,C1544457684,1403439.18,1725803.62,No,0
202,CASH_OUT,53926.99,C247222419,163,0,C2069112491,778060.79,831987.79,No,0
168,PAYMENT,4049.17,C1298152452,0,0,M1399640953,0,0,No,0
328,PAYMENT,1984.98,C1702164755,0,0,M1198877608,0,0,No,0
356,PAYMENT,13366.81,C816392578,0,0,M1772157581,0,0,No,0
736,CASH_OUT,172915.56,C962323728,172915.56,0,C1193568854,7674508.7,7847424.27,Si,0
381,PAYMENT,8167.66,C1727406978,284,0,M1099446513,0,0,No,0
165,PAYMENT,21174.39,C1133867601,0,0,M829140541,0,0,No,0
331,PAYMENT,19167.97,C2069025506,107122.92,87954.96,M1540132914,0,0,No,0
354,PAYMENT,12559.89,C342751447,20059.55,7499.67,M1033495349,0,0,No,0
18,CASH_IN,3879.94,C292251752,16041716.83,16045596.77,C589591572,88218.47,84338.52,No,0
44,CASH_IN,28621.99,C1607464981,1848544.01,1877166,C1825363703,279696.25,251074.26,No,0
348,CASH_OUT,11060.34,C1076477144,0,0,C1253718018,6664046.29,6675106.62,No,0
205,TRANSFER,44857.38,C440615823,0,0,C650845571,934168.08,979025.46,No,0
331,CASH_OUT,231502.4,C1477786386,0,0,C581229274,415323.76,646826.16,No,0
82,TRANSFER,1534985.07,C1000937208,1534985.07,0,C1880907151,0,0,Si,0
302,CASH_OUT,261518.91,C990868012,31911,0,C492825571,44708.42,306227.33,No,0
95,TRANSFER,132984.97,C1703242867,10682,0,C925975762,494911.96,627896.93,No,0
204,CASH_OUT,115919.33,C1291908408,0,0,C1537643212,422350.52,538269.85,No,0
261,PAYMENT,4869.79,C737644669,16126,11256.21,M313358832,0,0,No,0
299,CASH_OUT,175582.16,C51630321,0,0,C1176811988,43407512.37,43583094.53,No,0
355,CASH_OUT,257242.98,C2121418495,0,0,C332717994,1129362.96,1386605.95,No,0
24,PAYMENT,3139.96,C1609144313,29125,25985.04,M213941302,0,0,No,0
211,CASH_OUT,18441.64,C1154412626,0,0,C794693274,116270.53,134712.16,No,0
13,CASH_IN,32867.15,C595664568,5107503.45,5140370.6,C260370904,611529.96,770601.35,No,0
493,CASH_IN,202495.37,C2028535552,4333038.34,4535533.71,C1472412990,717692.4,515197.03,No,0
230,CASH_OUT,309532.1,C576428875,0,0,C1811350033,668162.88,977694.99,No,0
133,CASH_IN,128277.32,C1494678413,9550797.24,9679074.55,C1463466102,3940706.78,3812429.47,No,0
15,CASH_IN,131953.05,C895605418,9739251.69,9871204.74,C1928995349,2788813.67,2656860.63,No,0
398,CASH_OUT,63323.28,C1435293920,5547,0,C1793316499,0,63323.28,No,0
509,TRANSFER,407320.01,C419252042,407320.01,0,C903832238,0,0,Si,0
566,CASH_OUT,90452.19,C1254657144,34186,0,C165185822,38006.59,128458.78,No,0
69,TRANSFER,175328.85,C1805399811,175328.85,0,C1422711438,0,0,Si,0
455,TRANSFER,2108589.59,C517758721,2108589.59,0,C121014715,0,0,Si,0
397,TRANSFER,398051.53,C1396383141,0,0,C945454876,445274.52,843326.05,No,0
38,CASH_OUT,200791.78,C1588749868,2004,0,C624120945,0,200791.78,No,0
726,TRANSFER,185529.91,C1426277806,185529.91,0,C753666064,0,0,Si,0
215,TRANSFER,1586479.66,C109700228,1586479.66,0,C546843305,0,0,Si,0
16,CASH_OUT,418665.99,C881262609,51175,0,C955646489,524652.53,943318.51,No,0
9,CASH_OUT,30240.49,C229472676,0,0,C20757076,299658.56,744596.31,No,0
211,CASH_OUT,169196.44,C1579022568,33519,0,C984751433,349288.4,518484.84,No,0
162,CASH_OUT,18750.78,C2063284013,0,0,C1543344048,244763.49,459453.13,No,0
201,PAYMENT,387.42,C354735803,66933.43,66546.01,M1569706721,0,0,No,0
459,CASH_OUT,46130.88,C1862849619,46130.88,0,C1553982195,0,46130.88,Si,0
211,CASH_OUT,222109.07,C60966545,8011,0,C1380577814,0,222109.07,No,0
250,CASH_OUT,54540.62,C111872174,0,0,C868180156,701592.93,756133.55,No,0
277,PAYMENT,1356.67,C422459575,51619,50262.33,M858049962,0,0,No,0
154,CASH_IN,147868.7,C704559283,22115,169983.7,C1435794231,280859.32,132990.62,No,0
133,CASH_IN,365695.83,C2087273585,10335357.64,10701053.47,C1250482397,6453913.42,6088217.59,No,0
15,CASH_IN,38606.71,C1753874405,5966299.68,6004906.38,C599320469,84906.46,46299.75,No,0
394,CASH_IN,30968.28,C1013926356,30892,61860.28,C941950623,123250,300973.5,No,0
130,PAYMENT,1141.37,C278110879,0,0,M1744137726,0,0,No,0
256,PAYMENT,6792.57,C1618012333,0,0,M1636695272,0,0,No,0
396,CASH_OUT,205026.79,C1546824789,0,0,C1716887903,4466535.02,4671561.81,No,0
231,TRANSFER,1413352.69,C1707572884,23094,0,C2052038706,0,1413352.69,No,0
452,TRANSFER,227349.18,C523315738,227349.18,0,C1520782025,0,0,Si,0
252,PAYMENT,6678.23,C1870789976,0,0,M1836062017,0,0,No,0
236,CASH_IN,140362.71,C866580658,1595641.46,1736004.18,C1238359154,1016533.14,876170.42,No,0
356,CASH_IN,319255.41,C144201775,637785.68,957041.09,C746936680,794466.79,475211.38,No,0
304,CASH_OUT,295182.42,C1192422290,0,0,C1854820630,4310835.93,4606018.35,No,0
205,CASH_OUT,16800.39,C2067244401,0,0,C153637591,3433112.92,3449913.31,No,0
381,CASH_OUT,385686.7,C1578149257,0,0,C1221691737,483425.89,869112.58,No,0
10,CASH_OUT,242122.41,C1989298265,0,0,C1219273867,8371319.27,8613441.67,No,0
164,CASH_IN,141101.17,C462011865,772122.38,913223.55,C196041913,275446.57,134345.4,No,0
234,CASH_OUT,374279.3,C1750475747,0,0,C386426623,2158988.59,2533267.89,No,0
135,PAYMENT,10570.66,C185359103,433,0,M1894417956,0,0,No,0
240,PAYMENT,2250.73,C1973433257,1968,0,M717904705,0,0,No,0
299,CASH_OUT,181085.21,C1694187644,27872,0,C657817301,516652.13,697737.34,No,0
38,CASH_OUT,118279.1,C1002461618,2673,0,C2138963312,0,118279.1,No,0
17,CASH_IN,212165.54,C216506823,25745,237910.54,C1036331914,4523423.12,4311257.59,No,0
520,CASH_OUT,82528.69,C1176251046,0,0,C1996399362,1576262.4,1658791.09,No,0
307,CASH_IN,8939.8,C1105647281,21274,30213.8,C2146319228,119799.62,110859.83,No,0
154,PAYMENT,30842.44,C47310565,105,0,M1198461649,0,0,No,0
406,PAYMENT,84.24,C1942309668,15189,15104.76,M253050899,0,0,No,0
95,PAYMENT,28774.52,C678343148,74345,45570.48,M1589419487,0,0,No,0
202,TRANSFER,831114.84,C1152836786,212323,0,C772022826,21241.45,852356.29,No,0
43,PAYMENT,21192.28,C1938446946,33629,12436.72,M102291332,0,0,No,0
348,CASH_OUT,131171.43,C648988554,23871,0,C677231035,653937.97,785109.4,No,0
395,TRANSFER,117683.42,C461302689,117683.42,0,C96260697,0,0,Si,0
514,PAYMENT,2053.58,C852909709,339602,337548.42,M1415147631,0,0,No,0
308,CASH_OUT,125915.26,C1350156663,0,0,C1511692651,6784464.42,6910379.68,No,0
211,CASH_IN,65311.31,C1634917739,2458227.75,2523539.06,C276931207,529210.81,463899.5,No,0
188,CASH_IN,224544.76,C1775237784,238,224782.76,C1186803019,1559154.65,1334609.89,No,0
163,CASH_OUT,336365.15,C948333198,0,0,C201771237,544666.7,881031.85,No,0
230,TRANSFER,48078.85,C80387919,48078.85,0,C1965664830,0,0,Si,0
380,CASH_OUT,103199.29,C1096121516,10985,0,C1899603551,664556.74,767756.03,No,0
35,CASH_OUT,372710.16,C394447513,56370,0,C103508408,0,372710.16,No,0
249,PAYMENT,16087.43,C1865847453,0,0,M305847188,0,0,No,0
201,TRANSFER,351829.83,C1141572767,24227,0,C740133675,446231.94,798061.77,No,0
375,PAYMENT,35173.27,C2074558133,0,0,M838342484,0,0,No,0
326,CASH_IN,59075.05,C1124312256,11035,70110.05,C297385902,0,0,No,0
139,CASH_OUT,187880.3,C1008409236,0,0,C400269263,413521.26,601401.57,No,0
478,DEBIT,589.27,C6969131,31430,30840.73,C1759750477,973689.62,974278.89,No,0
250,CASH_OUT,76057.54,C552425228,0,0,C545226729,224035.87,300093.41,No,0
139,PAYMENT,7898.79,C687556435,126802.24,118903.45,M2093256199,0,0,No,0
249,TRANSFER,2085019.56,C1100390301,2085019.56,0,C989495920,0,0,Si,0
404,CASH_OUT,277309.59,C222402444,0,0,C114933657,758670.02,1035979.61,No,0
19,TRANSFER,3477438.49,C767243506,3477438.49,0,C1532877354,0,0,Si,0
72,TRANSFER,730574.39,C1671411740,730574.39,0,C2033875224,0,0,Si,0
402,TRANSFER,823111.38,C445801983,0,0,C1735161658,1714643.23,2537754.61,No,0
550,TRANSFER,197644.7,C1847150611,20307,0,C1970426484,440404.46,638049.16,No,0
379,CASH_OUT,259913.86,C1205101743,0,0,C584855562,422047.71,681961.57,No,0
347,TRANSFER,993611.51,C443049790,83413.42,0,C975413223,4051540.41,5045151.93,No,0
410,TRANSFER,2406332.79,C676092302,2406332.79,0,C636444299,0,0,Si,0
207,PAYMENT,20690.46,C609138817,0,0,M1423558188,0,0,No,0
381,PAYMENT,3871.49,C1829972531,21231,17359.51,M1293127344,0,0,No,0
350,CASH_OUT,118575.92,C715378692,0,0,C901495673,4468732.38,4587308.3,No,0
180,TRANSFER,1215988.2,C897701294,121076,0,C1921629018,443114.42,1659102.62,No,0
331,CASH_IN,11738.19,C704038647,1710531.37,1722269.57,C1885389259,13038555.1,13026816.9,No,0
42,PAYMENT,10123.98,C1870961915,37484.28,27360.3,M1953711212,0,0,No,0
309,PAYMENT,10249.58,C659321981,238421,228171.42,M1866761119,0,0,No,0
329,CASH_IN,180848.18,C1953907946,8081683.45,8262531.63,C1118308861,5518683.5,5141455.83,No,0
156,PAYMENT,20773.99,C1104050999,0,0,M591573233,0,0,No,0
332,PAYMENT,3076.27,C615516228,0,0,M1920229190,0,0,No,0
227,CASH_IN,210076.69,C1830923864,949347,1159423.69,C1866362955,279842.63,69765.94,No,0
448,PAYMENT,6280.18,C1863327122,185666.58,179386.4,M275610932,0,0,No,0
307,PAYMENT,34414.04,C551750949,20872,0,M1399973471,0,0,No,0
43,CASH_OUT,120368.99,C1226565672,0,0,C1787799635,1266012.39,1386381.38,No,0
394,TRANSFER,67742.05,C1523599049,0,0,C1493014089,130150.34,197892.39,No,0
427,CASH_OUT,426173.04,C1173353466,426173.04,0,C114462097,0,426173.04,Si,0
303,CASH_IN,214976.63,C419249350,23621911.65,23836888.28,C240258786,1332418.56,1117441.93,No,0
311,CASH_OUT,227624.3,C2002908001,227624.3,0,C1885290668,0,227624.3,Si,0
322,CASH_OUT,41683.52,C813095704,0,0,C456109630,453591.58,495275.11,No,0
137,PAYMENT,14736.56,C1983723296,37879.4,23142.85,M1290233338,0,0,No,0
347,PAYMENT,34868.65,C1574176430,39923,5054.35,M1196670143,0,0,No,0
164,CASH_OUT,131735.1,C42218479,0,0,C777220556,200368.7,332103.8,No,0
252,CASH_IN,178188.89,C778958736,10207129.51,10385318.4,C849597629,222779.66,44590.77,No,0
134,CASH_IN,83096.3,C1018173002,162626,245722.3,C1263335549,897.18,0,No,0
324,CASH_OUT,136377.98,C785959842,0,0,C1971636943,1814654.84,1951032.82,No,0
234,CASH_OUT,35193.24,C581521048,0,0,C1960732564,97032.38,132225.62,No,0
405,CASH_OUT,375626.66,C985461511,0,0,C576592982,3018946.16,3394572.82,No,0
306,CASH_OUT,222210.19,C1514499689,0,0,C997890258,2703675.7,2925885.89,No,0
42,CASH_OUT,61095.33,C184797620,0,0,C1857722037,189540.78,250636.11,No,0
209,CASH_IN,60992.28,C939479002,5067,66059.28,C1260769453,0,0,No,0
239,TRANSFER,429946.35,C396004058,0,0,C158582496,783200.89,1213147.24,No,0
137,PAYMENT,9854.34,C975411062,0,0,M1177313753,0,0,No,0
13,PAYMENT,15562.85,C1754056393,107828,92265.15,M1919372060,0,0,No,0
376,TRANSFER,1985524.45,C588543339,114208,0,C2059431562,544764.99,2530289.44,No,0
185,CASH_IN,151928.59,C1516838026,9441725.49,9593654.08,C556025620,241720.78,89792.2,No,0
330,CASH_IN,127083.84,C805815009,5192271.42,5319355.26,C10465139,1024189.83,897106,No,0
251,CASH_OUT,19071.42,C1364146932,30683,11611.58,C613582737,1545714.37,1564785.79,No,0
135,CASH_OUT,174662.2,C1800983558,0,0,C164068556,19597698.38,19584888.01,No,0
235,CASH_IN,176695.47,C747675457,14920799.77,15097495.25,C246341199,10921171.6,10744476.13,No,0
382,PAYMENT,1798.55,C1303055391,61028,59229.45,M1930036910,0,0,No,0
285,PAYMENT,13898.16,C1309077995,0,0,M1847535849,0,0,No,0
350,CASH_OUT,382542.8,C104733469,0,0,C1897689074,2331100.44,2713643.24,No,0
332,CASH_IN,127814.57,C1611493068,660,128474.57,C979876636,0,0,No,0
46,PAYMENT,14661.53,C1771923025,0,0,M1227099922,0,0,No,0
119,PAYMENT,14347.28,C978171712,179,0,M421532662,0,0,No,0
36,PAYMENT,9939.62,C1265300944,396235.63,386296.01,M182874766,0,0,No,0
132,CASH_IN,17775.56,C1291582195,10605,28380.56,C1572937422,278267.25,260491.69,No,0
283,PAYMENT,8823.2,C1404067928,148,0,M622871180,0,0,No,0
401,CASH_OUT,246110.06,C519491822,0,0,C915224944,504985.87,751095.93,No,0
186,PAYMENT,18195.03,C1207235591,258028.15,239833.12,M387140099,0,0,No,0
41,CASH_OUT,142504.8,C162203838,0,0,C827282739,4328548.54,4471053.34,No,0
205,CASH_IN,94842.15,C455513739,717556.46,812398.61,C1038221309,1689671.85,1594829.7,No,0
137,PAYMENT,8026.57,C813321190,154328,146301.43,M746112865,0,0,No,0
36,PAYMENT,5671.26,C1827198282,0,0,M1088217111,0,0,No,0
494,CASH_OUT,3642569.29,C1013288403,3642569.29,0,C581415324,1907850.52,5550419.81,Si,0
226,PAYMENT,4177.97,C1431352960,83800,79622.03,M1457128660,0,0,No,0
298,TRANSFER,1507789.45,C2094494118,0,0,C708363239,3740480.27,5248269.72,No,0
617,PAYMENT,4521.52,C1260939937,0,0,M841316299,0,0,No,0
379,CASH_IN,76732.04,C57995726,10112,86844.04,C1731052629,0,0,No,0
75,CASH_OUT,460436.43,C568175103,460436.43,0,C283083073,0,460436.43,Si,0
